post_text,timestamp,comments,reactions,shares,has_media
When a 5th grader teaches a 4th grader how to play chess… #mmbgrowingandglowing #wearehps,jan 23 24,2,11,0,y
"Instead of Fun Fact Friday, we’re taking a moment to dedicate this post to just a few of the many hands behind the education here in Montessori at Batchelder. 🏻‍ 
We admire the beautiful minds that take in all the learning and applaud them to keep learning. Let’s keep growing and glowing!
#mmbgrowingandglowing #wearehps",jan 12 24,3,21,0,y
"Happy Snowy Montessori Monday! 
Today, we showcase a few of our Upper Elementary students from each Upper EL class. They’re working on different things such as, The 50 States, Creative Writing, The Continents, and The Parts of a PlantCell. 
Our Upper EL students are working on their writing, reading, grammar, labeling, placement, and typing. 
————————
We have some diligent students! 
#mmbgrowingandglowing #wearehps",jan 8 24,0,13,0,y
"What is the best thing about snow? #mmbgrowingandglowing #winter #snowfall #wearehps





+4


All reactions:55",jan 8 24,0,5,0,y
Thanks to our Upper Elementary for reading to our Primary and Lower Elementary. Our December Reading party was a success #mmbgrowingandglowing #wearehps #readingchallenge,dec 22 23,0,12,1,y
"I don’t know if these were ugly sweaters, but happy ugly sweater day to all of the cuties! 
#mmbgrowingandglowing #wearehps #fypシ゚ #uglysweaterday",dec 22 23,2,22,0,y
Our students have a message for all of our families🫶🏼 #mmbgrowingandglowing #wearehps #winterrecess #happyholidays #fypシ゚,dec 22 23,5,22,0,y
"We hope all of our families have a winterful break! Our Winter Concert was a success#winterrecess #mmbgrowingandglowing #wearehps #fyp
#winterconcert 
(I don't own the rights to this music Facebook)",dec 22 23,2,16,1,y
ays until winter recess! Can you tell how  excited our primary students are? #mmbgrowingandglowing #wearehps #winterrecess,dec 21 23,1,11,1,
"When Hartford Performs comes to visit your school! The music was awesome, the energy was awesome, and we can’t wait for our next Hartford Performs guest! #hartfordperforms #mmbgrowingandglowing #wearehps",dec 19 23,0,5,0,y
Our Lower Elementary and Upper Elementary students are excited about the winter concert! I hope you’re ready! #mmbgrowingandglowing #wearehps,dec 19 23,1,11,2,y
"On this Montessori Monday, we have Ash working on Place Value with the assistant, Mr. Cale. She’s using the golden beads and the wooden number cards. 
An understanding of the place value of numbers is vitally important to learning operations. It is how we can compare numbers; line up numbers vertically; make sense of addition, subtraction, multiplication, and division with larger numbers; and is the foundation for regrouping (""borrowing"" and ""carrying"").
In this approach, children use special materials like golden beads, which represent units, tens, hundreds, and thousands.
By physically handling these beads and arranging them in different ways, children can see and feel the relationship between each value.
It’s like building a strong foundation for their understanding of numbers, allowing them to grasp the idea that a number’s value changes depending on its position.
#mmbgrowingandglowing #wearehps",dec 11 23,0,3,0,y
"Dear Connecticut Children's ,   
This is why we PJ… for a great causeWe love and support each and every one of you 
#PJDAYFORTHEKIDS #mmbgrowingandglowing #wearehps
Your friends, 
Montessori at Batchelder",dec 8 23,0,19,0,y
"Today Ms. Jain, one of our assistants in Lower El, shared with her class about Diwali and the beautiful traditions that she celebrates with her family during this holiday. #mmbgrowingandglowing #wearehps #diwali",dec 6 23,0,13,1,y
We avo-crushed Pajama Day! What style of PJ’s would you crush? #mmbgrowingandglowing #wearehps #pajamaday,0,20,1,y,dec 5 23
And that’s a wrap to our Picture Day!,dec 5 23,end,end,end,end
