post_text,timestamp,comments,reactions,shares,has_media
"Hi! My name is Gina Martin-Ryan, founder and director of Hilltop Academy. Like last week, I am sharing this post to introduce myself and share about our school. Last week's post generated incredible love, support, and interest and our team is so grateful! It has been amazing meeting so many new people!! Thank you so much for every like, share, and kind word 
What is Hilltop Academy?
We are a new, independent, nonprofit school, opening September 2024, in northern CT. We are enrolling students in grades 3-7 for our first year, expanding with an additional grade each subsequent year. We are open to families from Hartford to Springfield and all the towns in between.
Why Hilltop Academy?
We offer a school program that is different, knowing a conventional approach is not the best fit for every child. We are aiming to broaden access and opportunity for as many families as possible.
What makes Hilltop Academy different?
We offer a holistic, personalized, high-quality education. Our programming is experiential, project-based, interdisciplinary, and done in ways that are more natural for how children learn. We encourage creativity, inquiry, curiosity, play, and exploration. Class sizes are small, creating a nurturing, highly engaging, and academically rich environment. We use more authentic means for teaching, assessment, and learning. Students exercise their voice and choice, participate in community service, and conservation efforts. As a school, we are deeply rooted in connection with our families and our community.
All pathways students are interested in pursuing are honored, whether it's one for college, service, trade, or immediate workforce entry. We ensure every child is prepared with the skills and knowledge they need for today's world to be happy, healthy, independent, and lead a life of purpose.
Interested in learning more about our programming? Opportunities for involvement? How can you support our cause? We are happy to share! Schedule a personal information session today: Go to www.hilltopheroes.org or call 860-544-2225.
Please continue to help us get the word out- share with your friends and family!",apr 7 24,7,35,49,y
Do any of you get curious about abandoned structures? I always do. I want to know the story. We came across this one on our walk on East Granby’s rail to trail. Curiosity satisfied when we spotted the sign! Had no idea!! Grateful for the one responsible for sharing it!!,mar 24 24,0,4,0,y
"So… I did that thing that you should never do—placed my phone on the roof of my car for second and had the thought, watch me forget it there. Sure enough, forgot it.  at some point, my phone flew off the roof, which launched the crash notification—police were notified as were all my emergency contacts. We circled back to where we had driven, searched and searched and could not find my phone even with with the pinpoint location being shown.   No luck! A little while later…
Pictured with me is Tom. He found my phone while riding his bike and got my phone back to me!! I so appreciate you, Tom!! Thank you for going out of your way when you could have chosen differently!!! You are proof that good people do exist!",mar 17 24,0,4,0,y
"This!!  Imagine if mindset and all of the durable skills like grit that fall under it were standards all schools committed to growing, developing, and measuring!! Imagine grit being a priority skill!!
https://www.facebook.com/share/r/vVjj2YenFhszLvLr/?mibextid=UalRPS",mar 8 24,0,6,3,y
"The love and support keep coming!   So incredibly grateful!! Every donation matters, big or small, helping us move one step closer to our vision and mission. 
We need your support too!! Want to learn how? Visit us at www.hilltopheroes.org
#hilltopheroes #hilltopacademy #alternativeeducation #independentschool #learningcanbefun #individualizedlearning #educationrevolution #ReImaginingEducation #StudentVoice",feb 29 24,0,4,3,y
Love this! This is the way school should be! Honoring every single child!,feb 26 24,0,4,0,y
"So grateful for continued love and support!  Want to learn how you can support our mission too? Visit us at www.hilltopheroes.org
 #hilltopheroes #hilltopacademy #alternativeeducation #independentschool #learningcanbefun #individualizedlearning #educationrevolution #ReImaginingEducation",feb 19 24,0,2,1,y
"Looking forward to seeing you there!
 #hilltopheroes #alternativeeducation #learningcanbefun #individualizedlearning #independentschool #hilltopacademy #ReImaginingEducation",feb 18 24,0,0,1,y
"At Hilltop Academy, we call it unearthing the inner hero—there is one in every single child!! Want to learn more? Visit us at www.hilltopheroes.org 
#alternativeeducation #independentschool #individualizedlearning #hilltopacademy #spiritmindbody #learningcanbefun #hilltopheroes #InnovativeEducation",feb 18 24,0,4,2,y
"Grateful for the love and support!!   Want to learn how you can support our mission too? Go to www.hilltopheroes.org
#hilltopheroes #independentschool #educationrevolution #spiritmindbody #individualizedlearning #alternativeeducation #natureisourclassroom #learningcanbefun #InnovativeEducation #hilltopacademy",feb 14 24,0,4,1,y
"Want to learn more or have questions? Connect with us at www.hilltopheroes.org
#alternativeeducation #individualizedlearning #ExperientialLearning #natureisourclassroom #EducationRevolution #educationinnovation",feb 12 24,0,4,19,y
"Want to learn more about what this looks like at Hilltop Academy? Reach out. We're happy to share! Visit us at www.hilltopheroes.org 
#individualizedlearning #independentschool #spiritmindbody #hilltopacademy #alternativeeducation #meetingkidswheretheyareat #honoringtheheroeineverychild",jan 30 24,0,2,1,y
Honoring each individual. www.hilltopheroes.org,jan 28 24,0,9,1,y
Encouraging our kids to be kids! www.hilltopheroes.org,jan 26 24,0,6,0,y
Every student deserves their own individualized plan. www.hilltopheroes.org,jan 25 24,0,5,1,y
Our first of these events is almost filled! So excited to reconnect!! Looking forward to seeing you all soon!,jan 6 24,0,4,0,y
Here’s the link: https://www.signupgenius.com/.../10C0B4CAAA922A4FBC70...,jan 2 24,0,1,5,y
"So much gratitude for all who have shared love, support, and interest in Hilltop Academy! We are excited for all that is to come in 2024!! Wishing you and yours the happiest ever!",dec 31 24,0,2,2,y
"Wishing everyone peace, happiness, and joy from your friends at Hilltop Academy!",dec 25 23,0,2,1,y
"Thank you Asher Family! 
Interested in learning more about Hilltop Academy? Visit us at www.hilltopheroes.org
#changingthelandscapeofeducation #holisticeducation #bethechange #openingaccessandopportunity #natureisourclassroom #hilltopheroes",dec 23 23,0,4,1,y
Thrivepoint Financial we are so grateful for your support!!,dec 22 23,1,6,1,y
"Grateful for you, Carol Ryan!",dec 10 23,1,2,1,y
Hmmm…Think it’s time for change!,nov 21 23,2,13,0,y
Beginning here with an enormous thank you to all of you who shared the love!,nov 20 23,0,2,1,y
Isn't it time for a change!,nov 20 23,0,3,0,y
"Our team is so proud and thrilled to share our very exciting news that our school has been formally recognized as 501(C)3 organization and we are officially launching our independent, K-12 school, Hilltop Academy!! The vision and mission for our school has grown from the inspiration and motivation we gained from the countless observations, experiences, and conversations we've had with many of you--our friends, colleagues, families, students, community members, and other school leaders who know that the time for a change in the education system is now. We have been gearing up for this and are ready to go! We would love for you to join us on this journey by following, connecting, and/or reaching out!",nov 20 23,5,11,0,y
