post_text,timestamp,comments,reactions,shares,has_media
"The Master’s Academy is a three-day elementary program enrolling students in K-5. This unique organization is designed to support learning both at school and at home. On Mondays, Wednesdays, and Fridays from 8 a.m. through 2 p.m. learning happens on campus and is facilitated by content area experts. For a few hours on Tuesdays and Thursdays, academic lessons taught at school are reinforced at home by students’ first and most important teachers, their parents. This organization provides parents with larger expanses of time to guide faith and worldview development and to individually curate extracurricular experiences. The Master’s Academy features direct and explicit Reading, Writing, Math, and Science instruction along with artistic expression and outdoor exploration experiences. Academy students collaborate in project-based research and problem-based learning to solve complex problems with innovative solutions! Learn more about The Master’s Academy at: https://www.masterschool.org/academics/the-masters-academy",may 7 25,1,12,21,y
"The Master’s School Festival of the Arts brought smiles and joy to all who attended. With beautiful weather and lovely spring flowers in full bloom, the campus felt alive with creativity and community spirit.Guests began their evening by exploring the incredible visual art displays. In the Great Hall, the Lower School Art Show featured a joyful explosion of color and creativity. Mrs. Jorgensen beautifully integrated poetry and spiritual meaning into the students’ work, offering a thoughtful and inspiring lens through which to view their artistic expressions.Just steps away in the TRC, families entered the Middle and Upper School Art Show, greeted by a stunning, larger-than-life lion head mounted on the back wall. The Middle School collection, thoughtfully curated by Mrs. Gilmore, showcased a wide range of imaginative and skillful student work, clearly reflecting both growth and personal expression. Upper School sculptures and other mediums of art, created under the guidance of Ms. Kravitz, added dimension and depth to the exhibit, demonstrating creativity, craftsmanship, and bold artistic vision.The musical showcase began with a delightful performance by Ms. Norkun’s flute class, setting a warm and festive tone for the evening. Leading Tones choir gave a charming performance in front of the Great Hall. Their songs were brought to life through dramatic storytelling, including parables such as The Lost Sheep and The Woman Who Lost Her Coin. Students were expertly costumed as trees by Mrs. Shelansky and Ms. Nyquist, creating a visually rich and moving performance experience. Joseph Ho, Dylon Tackett, and Everleigh Taylor reenacted the two parables brilliantly.Along with food trucks, fellowship, and fun, it was a joyful and unforgettable evening of artistic celebration. Bravo and thank you to one and all!",may 6 25,0,17,1,y
"Students in Mr. Lawrence's Geometry class used chalk and string to investigate the relationships between different angles in life-sized circles. Through this activity students cooperatively discovered the Inscribed Angle Theorem, Intersecting Chords Theorem, and the Exterior Angle Theorem.",may 2 25,0,10,1,y
"Students in Mr. Lawrence's Geometry class used chalk and string to investigate the relationships between different angles in life-sized circles. Through this activity students cooperatively discovered the Inscribed Angle Theorem, Intersecting Chords Theorem, and the Exterior Angle Theorem.",,,,,
Preschool students were thrilled to meet service dog Brûlée! Students learned about the importance and benefits of service dogs and about general safety around all dogs. What a treat!,may 1 25,0,27,0,y
"The Master’s School held its National Honor Society Induction Ceremony today. Five students from the Class of 2026 were welcomed into the NHS. To be selected, students had to have a minimum cumulative grade point average of 3.3, as well as demonstrate strength in leadership, character and service.
The Master’s School chapter of the National Honor Society began in 1980. Since that time the organization has engaged its members in actively demonstrating scholarship, leadership, character, and service, the four main tenets of NHS, on campus and in the community.
Last year's NHS inductees were also a part of the ceremony, welcoming the new members and reflecting on their past year of service, scholarship, character, and leadership.
The Master’s School students included in the ceremony were: Liza Gray, Evelyn Loveless, Hayden Peters, Dylon Tackett, Daniel Volpe, Leah Czyz, Haley Czyz, Abby Hinds, Jayden Martey, and Maddy Taylor.
For more information about this prestigious recognition visit http://www.nhs.us/. Congratulations to all!",apr 30 25,5,25,0,1
"The Master’s School held its National Honor Society Induction Ceremony today. Five students from the Class of 2026 were welcomed into the NHS. To be selected, students had to have a minimum cumulative grade point average of 3.3, as well as demonstrate strength in leadership, character and service.
The Master’s School chapter of the National Honor Society began in 1980. Since that time the organization has engaged its members in actively demonstrating scholarship, leadership, character, and service, the four main tenets of NHS, on campus and in the community.
Last year's NHS inductees were also a part of the ceremony, welcoming the new members and reflecting on their past year of service, scholarship, character, and leadership.
The Master’s School students included in the ceremony were: Liza Gray, Evelyn Loveless, Hayden Peters, Dylon Tackett, Daniel Volpe, Leah Czyz, Haley Czyz, Abby Hinds, Jayden Martey, and Maddy Taylor.
For more information about this prestigious recognition visit http://www.nhs.us/. Congratulations to all!",apr 30 25,5,25,0,y
"Everyone had a blast during the Middle School Beach Bash! Games, food and music were enjoyed by everyone, especially the fun-loving Middle School teachers! What an amazing community!





+7


All reactions:2020",apr 28 25,1,20,1,y
"Grandparents Day is a long-standing Master's School tradition spanning more than four decades. This year, grandparents enjoyed a special morning in the Lower School - visiting their grandchild’s classroom, listening to songs performed by the Early Kindergarten through Grade 5 students, and learning more about the wonderful things their grandchild is experiencing here at The Master's School! This year's guest speaker Karen Gray shared about her incredible experience as both a TMS alum parent and current grandparent at The Master's School. Thank you, grandparents, for sharing this memorable day with us!",apr 26 25,2,25,0,y
Upper School students enjoy the opportunity to compete in their weekly Pickleball Club.,apr 24 25,0,15,0,y
"Grade 6 science class is studying plate tectonics, volcanoes and earthquakes. The class created volcanic eruptions as part of a lab activity.",apr 22 25,0,16,0,y
We pray you and your family have a blessed Easter! He is Risen!,apr 20 25,1,22,1,y
"Grade 7 was busy this marking period investigating Latin America. Beginning with their 3-D maps of South America, then on to their individual research and travelogues presentations, students were actively involved in their learning. Their unit culminated with an amazing Latin American Food festival where each student brought sample foods from the country they “visited” and wrote about in their travelogue.",apr 16 25,0,8,0,y
"Academy students have been developing wonders through play and research! They learned how to take a wonder and create a testable hypothesis. Students have practiced many different science experiments this unit, focusing on forces in motion and friction, hatching baby chicks, creating snow volcanoes, baking and more. Students have learned that they are natural born scientists! Every student designed their own experiment plan, conducted an experiment of their own, wrote a lab report and created visual displays for their individual presentations.",apr 15 25,0,7,0,y
"Spiritual Focus Week enables students to grow in knowledge of the Lord, gain perspective from a variety of speakers, and feel the impact of their good works on the lives of others. Each school year, a portion of one week is set aside in the spring to devote amplified time and focus to the reading and contemplation of Scripture and discussions of how to live out Biblical principles while serving others. Dynamic speakers and musicians from outside The Master’s School community join us on campus to deliver messages and lead times of worship. These events are a key component of the Spiritual foundation of our school year. Watch highlights from this year’s Spiritual Focus Week and support formational opportunities like this for students by donating today at: https://masterschool.myschoolapp.com/.../donate-online",apr 13 25,0,15,2,y
"The Master's School Preschool Program is committed to fostering wonder and delight in learning. The curriculum is designed to nurture a positive sense of self and respect for others; to support and develop emerging social and emotional skills; to encourage creative expression and problem solving; to create an environment where young children can discover God and experience His love. 
School Warm-Up:
Not only is this offering convenient for many parents’ schedules, it also provides a warm, unhurried start before the regular school day.
Traditional Program:
Our faith-based program is based on best practices in early childhood and includes a whole group morning meeting, a teacher selected activity/experience that may be art, science, fine motor, etc., then moves to learning centers as well as stories and conversation over a snack and ends with outdoor time on the playground or a hike.
Outdoor Classroom:
Our outdoor immersive program includes hiking, field study in a variety of settings- forest, pond, field, wetland, etc., and seed to table organic gardening.
Enrichment:
A supported quiet time followed by a diverse array of enrichment opportunities that may include foreign and sign language, art, music, movement and more.
Our preschool classes are filling up fast, but there are still a few spots left! Contact our Admissions Office today to schedule a tour and learn more about our preschool program. Visit https://www.masterschool.org/academics/preschool for more information.",apr 10 25,2,18,21,y
"Mr. Lawrence's Geometry class built DIY inclinometers and used their new knowledge of trigonometry to calculate different heights and distances around campus.





+5


All reactions:1111",apr 9 25,0,11,1,y
"Congratulations to the cast and crew of In Fair Ventura! What a fabulous culmination of months of student playwriting and theatre production. Bravo to all involved!





+24


All reactions:3333",apr 7 25,6,33,4,y
"Middle School students had a special visitor! Brule, a certified therapy dog, spent time with the students as they learned about the work of these amazing animals. Thank you, Mrs. Davis, for allowing Brule to bless us!",apr 4 25,1,23,0,y
"The Upper School faculty is proud to honor senior Abby as the Lion of the Month for March. Her leadership and positive impact on campus extends beyond the classroom. Abby's character and integrity has been evident to all from planning events to advocating for her peers. Congratulations, Abby!
Middle School teachers are excited to announce that grade 8 student Stella has been selected as Student of the Month for March. Stella is an outstanding, dedicated student who is a role model for other students. Her determination and positive attitude inspire all of us. Congratulations, Stella!",apr 3 25,4,15,0,y
The competition was fierce at this year's Lower School Mother Son Minute to Win It Challenge. Incredible memories were made that will last a lifetime!,apr 2 25,1,11,1,y
"The Master’s School Theatre presents In Fair Ventura this Friday, April 4 and Saturday, April 5 at 7 p.m. in the Great Hall. With an original script and original music, this production is the culmination of months of creative efforts by our TMS students. Buy your tickets today and join us this weekend for the drama, action, and comedy of In Fair Ventura. 
Limited Seating. Order Tickets: https://www.masterschool.org/.../the.../theatre-presentation",mar 31 25,0,12,2,y
"Mrs. Poteet’s grade 1 students each selected an historical figure to research their life and achievements. The students then created projects to display their findings and present to their families and other Lower School students and teachers. Well done, first grade!",mar 28 25,1,23,1,y
"Upper School Chapel today featured a Women’s Panel made up of women from all walks of life in the TMS community. These women shared about their career paths and how they weave their faith into their professional lives. They also answered insightful questions from the students about their professional experiences. Thank you to these amazing women – Hannah Bible, lawyer; Maria Hinds, accounting business owner; Julie Volpe, psychiatrist; Meg Pascucci, professional photographer; Becca BeVier, camp owner; and Nicole Ellrod, physical therapist.",mar 26 25,4,39,0,y
"At The Master’s School, we believe each child can receive, enjoy and develop the creative gifts that God has given them as unique individuals. Students are provided with tools to develop the skills needed to produce works of excellence and innovation. Take a peek at some of the extraordinary performances by our wonderfully talented student musicians at our recent Coffee House. Support the Arts and much more at The Master’s School by donating today. https://masterschool.myschoolapp.com/.../donate-online",mar 25 25,2,19,2,y
"Local artist Corey Pane visited our Upper School sculpture class to inspire the students to follow their dreams. The class has been working on their first group collaboration project sculpting a giant lion head out of chicken wire and paper mache. Corey is an extremely talented artist who specializes in painting realistic murals. Having Corey come in to show the students how to bring Judah the Lion’s face to life was very inspiring. Corey got his BFA in Illustration at The Hartford Art School and has been showing his artwork in galleries, community and public spaces worldwide, album covers as well as painting famous athlete's cleats. He is a legend in the Connecticut scene, being hired to transform the outside of buildings into murals. Please check out his web site and take a mural tour drive to see his work up close. You will be blown away with his ability to capture emotions and personality in his art. https://coreypane.com/",mar 24 25,1,22,0,y
"Middle school students completed an incredible cross-curricular unit on the Lost Boys of Sudan. They read A Long Walk to Water, wrote survival stories, created maps and infographics, and shared their learning with 5th and 9th graders at our culminating event. Our freshmen visitors also gave insightful presentations on African countries, connecting their World History studies to the unit. Thank you to all those who participated. It was a powerful time of listening and sharing!",mar 20 25,1,17,0,y
